7;1;CARONI;1
7;2;CEDENO;1
7;3;EL CALLAO;1
7;4;GRAN SABANA;1
7;5;HERES;1
7;6;PIAR;1
7;7;RAUL LEONI;1
7;8;ROSCIO;1
7;9;SIFONTES;1
7;10;SUCRE;1
7;11;PADRE PEDRO CHIEN;1
8;1;BEJUMA;1
8;2;CARLOS ARVELO;1
8;3;DIEGO IBARRA;1
8;4;GUACARA;1
8;5;JUAN JOSE MORA;1
8;6;LIBERTADOR;1
8;7;LOS GUAYOS;1
8;8;MIRANDA;1
8;9;MONTALBAN;1
8;10;NAGUANAGUA;1
8;11;PUERTO CABELLO;1
8;12;SAN DIEGO;1
8;13;SAN JOAQUIN;1
8;14;VALENCIA;1
9;1;ANZOATEGUI;1
9;2;FALCON;1
9;3;GIRARDOT;1
9;4;LIMA BLANCO;1
9;5;EL PAO DE SAN JUAN BAUTISTA;1
9;6;RICAURTE;1
9;7;ROMULO GALLEGOS;1
9;8;SAN CARLOS DE AUSTRIA;1
9;9;TINACO;1
10;1;ANTONIO DIAZ;1
10;2;CASACOIMA;1
10;3;PEDERNALES;1
10;4;TUCUPITA;1
11;1;ACOSTA;1
11;2;BOLIVAR;1
11;3;BUCHIVACOA;1
11;4;CACIQUE MANAURE;1
11;5;CARIRUBANA;1
11;6;COLINA;1
11;7;DABAJURO;1
11;8;DEMOCRACIA;1
11;9;FALCON;1
11;10;FEDERACION;1
11;11;JACURA;1
11;12;LOS TAQUES;1
11;13;MAUROA;1
11;14;MIRANDA;1
11;15;MONSENOR ITURRIZA;1
11;16;PALMASOLA;1
11;17;PETIT;1
11;18;PIRITU;1
11;19;SAN FRANCISCO;1
11;20;SILVA;1
11;21;SUCRE;1
11;22;TOCOPERO;1
11;23;UNION;1
11;24;URUMACO;1
11;25;ZAMORA;1
12;1;CAMAGUAN;1
12;2;CHAGUARAMAS;1
12;3;EL SOCORRO;1
12;4;SAN GERONIMO DE GUAYABAL;1
12;5;LEONARDO INFANTE;1
12;6;LAS MERCEDES;1
12;7;JULIAN MECHADO;1
12;8;FRANCISCO DE MIRANDA;1
12;9;JOSE TADEO MONAGAS;1
12;10;ORTIZ;1
12;11;JOSE FELIX RIBAS;1
12;12;JUAN GERMAN ROSCIO;1
12;13;SAN JOSE DE GUARIBE;1
12;14;SANTA MARIA DE IPIRE;1
12;15;PEDRO ZARAZA;1
13;1;ANDRES ELOY BLANCO;1
13;2;CRESPO;1
13;3;IRIBARREN;1
13;4;JIMENEZ;1
13;5;MORAN;1
13;6;PALAVECINO;1
13;7;SIMON PLANAS;1
13;8;TORRES;1
13;9;URDANETA;1
14;1;ALBERTO ADRIANI;1
14;2;ANDRES BELLO;1
14;3;ANTONIO PINTO SALINAS;1
14;4;ARICAGUA;1
14;5;ARZOBISPO CHACON;1
14;6;CAMPO ELIAS;1
14;7;CARACCIOLO PARRA OLMEDO;1
14;8;CARDENAL QUINTERO;1
14;9;GUARAQUE;1
14;10;JULIO CESAR SALAS;1
14;11;JUSTO BRICENO;1
14;12;LIBERTADOR;1
14;13;MIRANDA;1
14;14;OBISPO RAMOS DE LORA;1
14;15;PADRE NOGUERA;1
14;16;PUEBLO LLANO;1
14;17;RANGEL;1
14;18;RIVAS DAVILA;1
14;19;SANTOS MARQUINA;1
14;20;SUCRE;1
14;21;TOVAR;1
14;22;TULIO FEBRES CORDERO;1
14;23;ZEA;1
15;1;ACEVEDO;1
15;2;ANDRES BELLO;1
15;3;BARUTA;1
15;4;BRION;1
15;5;BUROZ;1
15;6;CARRIZAL;1
15;7;CHACAO;1
15;8;CRISTOBAL ROJAS;1
15;9;EL HATILLO;1
15;10;GUAICAIPURO;1
15;11;INDEPENDENCIA;1
15;12;LANDER;1
15;13;LOS SALIAS;1
15;14;PAEZ;1
15;15;PAZ CASTILLO;1
15;16;PEDRO GUAL;1
15;17;PLAZA;1
15;18;SIMON BOLIVAR;1
15;19;SUCRE;1
15;20;URDANETA;1
15;21;ZAMORA;1
16;1;ACOSTA;1
16;2;AGUASAY;1
16;3;BOLIVAR;1
16;4;CARIPE;1
16;5;CEDENO;1
16;6;EZEQUIEL ZAMORA;1
16;7;LIBERTADOR;1
16;8;MATURIN;1
16;9;PIAR;1
16;10;PUNCERES;1
16;11;SANTA BARBARA;1
16;12;SOTILLO;1
16;13;URACOA;1
17;1;ANTOLIN DEL CAMPO;1
17;2;ARISMENDI;1
17;3;DIAZ;1
17;4;GARCIA;1
17;5;GOMEZ;1
17;6;MANEIRO;1
17;7;MARCANO;1
17;8;MARINO;1
17;9;PENINSULA DE MACANAO;1
17;10;TUBORES;1
17;11;VILLALBA;1
18;1;AGUA BLANCA;1
18;2;ARAURE;1
18;3;ESTELLER;1
18;4;GUANARE;1
18;5;GUANARITO;1
18;6;MONSENOR JOSE VICENTE DE UNDA;1
18;7;OSPINO;1
18;8;PAEZ;1
18;9;PAPELON;1
18;10;SAN GENARO DE BOCONOITO;1
18;11;SAN RAFAEL DE ONOTO;1
18;12;SANTA ROSALIA;1
18;13;SUCRE;1
18;14;TUREN;1
19;1;ANDRES ELOY BLANCO;1
19;2;ANDRES MATA;1
19;3;ARISMENDI;1
19;4;BENITEZ;1
19;5;BERMUDEZ;1
19;6;BOLIVAR;1
19;7;CAJIGAL;1
19;8;CRUZ SALMERON ACOSTA;1
19;9;LIBERTADOR;1
19;10;MARINO;1
19;11;MEJIA;1
19;12;MONTES;1
19;13;RIBERO;1
19;14;SUCRE;1
19;15;VALDEZ;1
20;1;ANDRES BELLO;1
20;2;ANTONIO ROMULO COSTA;1
20;3;AYACUCHO;1
20;4;BOLIVAR;1
20;5;CARDENAS;1
20;6;CORDOBA;1
20;7;FERNANDEZ FEO;1
20;8;FRANCISCO DE MIRANDA;1
20;9;GARCIA DE HEVIA;1
20;10;GUASIMOS;1
20;11;INDEPENDENCIA;1
20;12;JAUREGUI;1
20;13;JOSE MARIA VARGAS;1
20;14;JUNIN;1
20;15;LIBERTAD;1
20;16;LIBERTADOR;1
20;17;LOBATERA;1
20;18;MICHELENA;1
20;19;PANAMERICANO;1
20;20;PEDRO MARIA URENA;1
20;21;RAFAEL URDANETA;1
20;22;SAMUEL DARIO MALDONADO;1
20;23;SAN CRISTOBAL;1
20;24;SEBORUCO;1
20;25;SIMON RODRIGUEZ;1
20;26;SUCRE;1
20;27;TORBES;1
20;28;URIBANTE;1
20;29;SAN JUDAS TADEO;1
21;1;ANDRES BELLO;1
21;2;BOCONO;1
21;3;BOLIVAR;1
21;4;CANDELARIA;1
21;5;CARACHE;1
21;6;ESCUQUE;1
21;7;JOSE FELIPE MARQUEZ CANIZALES;1
21;8;JOSE VICENTE CAMPO ELIAS;1
21;9;LA CEIBA;1
21;10;MIRANDA;1
21;11;MONTE CARMELO;1
21;12;MOTATAN;1
21;13;PAMPAN;1
21;14;PAMPANITO;1
21;15;RAFAEL RANGEL;1
21;16;SAN RAFAEL DE CARVAJAL;1
21;17;SUCRE;1
21;18;TRUJILLO;1
21;19;URDANETA;1
21;20;VALERA;1
22;1;ARISTIDES BASTIDAS;1
22;2;BOLIVAR;1
22;3;BRUZUAL;1
22;4;COCOROTE;1
22;5;INDEPENDENCIA;1
22;6;JOSE ANTONIO PAEZ;1
22;7;LA TRINIDAD;1
22;8;MANUEL MONGE;1
22;9;NIRGUA;1
22;10;PENA;1
22;11;SAN FELIPE;1
22;12;SUCRE;1
22;13;URACHICHE;1
22;14;VEROES;1
23;1;ALMIRANTE PADILLA;1
23;2;BARALT;1
23;3;CABIMAS;1
23;4;CATATUMBO;1
23;5;COLON;1
23;6;FRANCISCO JAVIER PULGAR;1
23;7;JESUS ENRIQUE LOSSADA;1
23;8;JESUS MARIA SEMPRUN;1
23;9;LA CANADA DE URDANETA;1
23;10;LAGUNILLAS;1
23;11;MACHIQUES DE PERIJA;1
23;12;MARA;1
23;13;MARACAIBO;1
23;14;MIRANDA;1
23;15;PAEZ;1
23;16;ROSARIO DE PERIJA;1
23;17;SAN FRANCISCO;1
23;18;SANTA RITA;1
23;19;SIMON BOLIVAR;1
23;20;SUCRE;1
23;21;VALMORE RODRIGUEZ;1
24;1;VARGAS;1
25;1;ARCHIPIELAGO LOS ROQUES;1
25;2;LOS TESTIGOS;1
25;3;CHIMANAS;1
